"Name","Country","Region","Timezone","Rank","Latitude","Longitude","Weather Text","Is Day Time","Temperature Celsius","Temperature Fahrenheit"
"Dhaka","Bangladesh","Asia","Asia/Dhaka","10","23.71","90.407","Partly cloudy","false","32.1","90"
"Kinshasa","Democratic Republic of the Congo","Africa","Africa/Kinshasa","10","-4.316","15.298","Partly sunny","true","33.7","93"
"Santiago","Chile","South America","America/Santiago","10","-33.446","-70.659","Sunny","true","9.7","50"
"Beijing","China","Asia","Asia/Shanghai","10","39.917","116.407","Clear","false","20","68"
"Bogota","Colombia","South America","America/Bogota","10","4.628","-74.077","Cloudy","true","14.8","59"
"Berlin","Germany","Europe","Europe/Berlin","10","52.518","13.406","Sunny","true","17","63"
"Cairo","Egypt","Africa","Africa/Cairo","10","30.084","31.255","Sunny","true","27.9","82"
"Madrid","Spain","Europe","Europe/Madrid","10","40.41","-3.686","Mostly sunny","true","20","68"
"London","United Kingdom","Europe","Europe/London","10","51.514","-0.107","Partly sunny","true","20.4","69"
"Athens","Greece","Europe","Europe/Athens","10","37.984","23.728","Mostly cloudy","true","20","68"
"Hong Kong","Hong Kong","Asia","Asia/Hong_Kong","10","22.369","114.174","Cloudy","false","25.9","79"
"Jakarta","Indonesia","Asia","Asia/Jakarta","10","-6.175","106.827","Partly cloudy","false","27.9","82"
"Baghdad","Iraq","Middle East","Asia/Baghdad","10","33.328","44.386","Mostly cloudy","true","33.9","93"
"Tokyo","Japan","Asia","Asia/Tokyo","10","35.683","139.809","Mostly cloudy","false","21.4","71"
"Seoul","South Korea","Asia","Asia/Seoul","10","37.537","126.97","Some clouds","false","14.3","58"
"Mexico City","Mexico","North America","America/Mexico_City","10","19.433","-99.133","Mostly sunny","true","12.2","54"
"Lima","Peru","South America","America/Lima","10","-12.082","-77.045","Clouds and sun","true","18.5","65"
"Moscow","Russia","Asia","Europe/Moscow","10","55.752","37.619","Light snow shower","true","3.9","39"
"Riyadh","Saudi Arabia","Middle East","Asia/Riyadh","10","24.64","46.753","Hazy sunshine","true","37.7","100"
"Singapore","Singapore","Asia","Asia/Singapore","10","1.311","103.843","Some clouds","false","28.9","84"
"Bangkok","Thailand","Asia","Asia/Bangkok","10","13.731","100.521","Mostly cloudy","false","30","86"
"Hanoi","Vietnam","Asia","Asia/Ho_Chi_Minh","10","20.999","105.7","Cloudy","false","28","82"
"Sydney","Australia","Oceania","Australia/Sydney","11","-33.87","151.209","Cloudy","false","19.2","67"
"Shanghai","China","Asia","Asia/Shanghai","11","31.232","121.444","Overcast","false","21.1","70"
"Delhi","India","Asia","Asia/Kolkata","11","28.643","77.118","Hazy sunshine","true","37.7","100"
"Bengaluru","India","Asia","Asia/Kolkata","11","12.991","77.579","Partly cloudy","false","32.7","91"
"Mumbai","India","Asia","Asia/Kolkata","11","19.143","72.878","Sunny","true","33.7","93"
"Kolkata","India","Asia","Asia/Kolkata","11","22.526","88.353","Mostly cloudy","false","31.1","88"
"Karachi","Pakistan","Asia","Asia/Karachi","11","24.89","67.029","Sunny","true","32.8","91"
"Istanbul","Türkiye","Middle East","Europe/Istanbul","11","41.011","28.958","Mostly cloudy","true","14.3","58"
"Los Angeles","United States","North America","America/Los_Angeles","15","34.052","-118.244","Cloudy","true","9","48"
"New York","United States","North America","America/New_York","15","40.779","-73.969","Cloudy","true","10","50"
"Kabul","Afghanistan","Asia","Asia/Kabul","20","34.531","69.137","Sunny","true","22.1","72"
"Buenos Aires","Argentina","South America","America/Argentina/Buenos_Aires","20","-34.608","-58.437","Sunny","true","16.1","61"
"Havana","Cuba","Central America","America/Havana","20","23.117","-82.389","Mostly sunny","true","23","73"
"Paris","France","Europe","Europe/Paris","20","48.857","2.351","Mostly sunny","true","20.9","70"
"Tehran","Iran","Middle East","Asia/Tehran","20","35.701","51.407","Partly sunny","true","32.2","90"
"Manila","Philippines","Asia","Asia/Manila","20","14.59","120.982","Clear","false","31.2","88"
"Belgrade","Serbia","Europe","Europe/Belgrade","20","44.817","20.464","Partly sunny","true","17","63"
"Dakar","Senegal","Africa","Africa/Dakar","20","14.687","-17.452","Hazy sunshine","true","26.5","80"
"Taipei City","Taiwan","Asia","Asia/Taipei","20","25.048","121.514","Cloudy","false","22.2","72"
"Cape Town","South Africa","Africa","Africa/Johannesburg","20","-33.979","18.482","Mostly sunny","true","27.8","82"
"São Paulo","Brazil","South America","America/Sao_Paulo","21","-23.567","-46.57","Cloudy","true","21.1","70"
"Toronto","Canada","North America","America/Toronto","21","43.649","-79.38","Sunny","true","10","50"
"Osaka-shi","Japan","Asia","Asia/Tokyo","21","34.667","135.5","Mostly cloudy","false","19.5","67"
"Jerusalem","Israel","Middle East","Asia/Jerusalem","30","31.774","35.225","Sunny","true","19.3","67"
"Amsterdam","Netherlands","Europe","Europe/Amsterdam","30","52.372","4.9","Sunny","true","18.9","66"
"Stockholm","Sweden","Europe","Europe/Stockholm","30","59.314","18.069","Partly sunny","true","15.4","60"
"Honolulu","United States","North America","Pacific/Honolulu","31","21.326","-157.845","Partly cloudy","false","22.7","73"
"Reykjavik","Iceland","Arctic","Atlantic/Reykjavik","40","64.137","-21.902","Mostly cloudy","true","10","50"